127.0.0.1, 2016-03-17 00:10:27, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.083169
127.0.0.1, 2016-03-17 00:10:32, GET, /datos/appadmin/hooks, HTTP/1.1, 500, 5.378434
127.0.0.1, 2016-03-17 00:10:59, GET, /admin/default/edit/datos/models/db0.py, HTTP/1.1, 303, 0.005627
127.0.0.1, 2016-03-17 00:10:59, GET, /admin/default/index, HTTP/1.1, 200, 0.042256
127.0.0.1, 2016-03-17 00:11:01, POST, /admin/default/index, HTTP/1.1, 303, 0.035394
127.0.0.1, 2016-03-17 00:11:01, GET, /admin/default/edit/datos/models/db0.py, HTTP/1.1, 200, 0.046058
127.0.0.1, 2016-03-17 00:11:02, GET, /admin/default/edit/datos/models/db0.py, HTTP/1.1, 200, 0.049494
127.0.0.1, 2016-03-17 00:11:02, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.148568
127.0.0.1, 2016-03-17 00:11:02, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.222682
127.0.0.1, 2016-03-17 00:11:02, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.377611
127.0.0.1, 2016-03-17 00:11:02, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.359729
127.0.0.1, 2016-03-17 00:11:07, GET, /datos/appadmin/hooks, HTTP/1.1, 500, 5.585914
127.0.0.1, 2016-03-17 00:11:08, POST, /admin/default/edit/datos/models/db0.py, HTTP/1.1, 200, 0.034668
127.0.0.1, 2016-03-17 00:11:14, GET, /admin/default/index, HTTP/1.1, 303, 0.006510
127.0.0.1, 2016-03-17 00:11:14, GET, /admin/default/site, HTTP/1.1, 200, 0.058796
127.0.0.1, 2016-03-17 00:11:15, POST, /admin/default/check_version, HTTP/1.1, 200, 0.402472
127.0.0.1, 2016-03-17 00:11:17, GET, /datos/default/index, HTTP/1.1, 500, 1.036790
127.0.0.1, 2016-03-17 00:11:19, GET, /admin/default/ticket/datos/127.0.0.1.2016-03-17.00-11-16.7ec03845-5694-4110-8790-193d7e284b86, HTTP/1.1, 200, 0.218274
127.0.0.1, 2016-03-17 00:11:27, POST, /admin/default/edit/datos/models/db0.py, HTTP/1.1, 200, 0.036137
127.0.0.1, 2016-03-17 00:11:33, GET, /datos/default/index, HTTP/1.1, 500, 1.040113
127.0.0.1, 2016-03-17 00:11:35, GET, /admin/default/ticket/datos/127.0.0.1.2016-03-17.00-11-32.8b749e4e-aaf1-441c-be83-efd6eeb71692, HTTP/1.1, 200, 0.205990
127.0.0.1, 2016-03-17 00:12:02, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.012011
127.0.0.1, 2016-03-17 00:12:02, GET, /admin/default/index.load, HTTP/1.1, 404, 0.113532
127.0.0.1, 2016-03-17 00:12:03, GET, /datos/appadmin/hooks, HTTP/1.1, 500, 1.021140
127.0.0.1, 2016-03-17 00:13:02, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.011972
127.0.0.1, 2016-03-17 00:13:02, GET, /admin/default/index.load, HTTP/1.1, 404, 0.107459
127.0.0.1, 2016-03-17 00:13:03, GET, /datos/appadmin/hooks, HTTP/1.1, 500, 1.086906
127.0.0.1, 2016-03-17 00:14:02, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.027489
127.0.0.1, 2016-03-17 00:14:02, GET, /admin/default/index.load, HTTP/1.1, 404, 0.114374
