127.0.0.1, 2016-08-31 23:07:02, GET, /datos/academia/update_group_teacher/6, HTTP/1.1, 303, 0.128569
127.0.0.1, 2016-08-31 23:07:02, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.173555
127.0.0.1, 2016-08-31 23:07:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.277492
127.0.0.1, 2016-08-31 23:07:20, GET, /datos/appadmin/hooks, HTTP/1.1, 200, 0.815934
127.0.0.1, 2016-08-31 23:07:28, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.064696
127.0.0.1, 2016-08-31 23:07:32, GET, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 200, 0.261929
127.0.0.1, 2016-08-31 23:07:38, POST, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 303, 0.199940
127.0.0.1, 2016-08-31 23:07:38, GET, /datos/appadmin/select/db1, HTTP/1.1, 200, 0.260864
127.0.0.1, 2016-08-31 23:07:40, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.180971
127.0.0.1, 2016-08-31 23:07:42, GET, /datos/academia/show_teacher/6, HTTP/1.1, 200, 0.181557
127.0.0.1, 2016-08-31 23:07:43, POST, /datos/academia/show_teacher/6, HTTP/1.1, 303, 0.201925
127.0.0.1, 2016-08-31 23:07:44, GET, /datos/academia/update_group_teacher/6, HTTP/1.1, 303, 0.134641
127.0.0.1, 2016-08-31 23:07:44, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.170135
127.0.0.1, 2016-08-31 23:07:56, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.064919
127.0.0.1, 2016-08-31 23:08:00, POST, /admin/default/edit/datos/controllers/academia.py, HTTP/1.1, 200, 0.075268
127.0.0.1, 2016-08-31 23:08:03, GET, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 200, 0.269723
127.0.0.1, 2016-08-31 23:08:09, POST, /datos/appadmin/update/db1/auth_user/6, HTTP/1.1, 303, 0.188159
127.0.0.1, 2016-08-31 23:08:09, GET, /datos/appadmin/select/db1, HTTP/1.1, 200, 0.258870
127.0.0.1, 2016-08-31 23:08:11, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.167369
127.0.0.1, 2016-08-31 23:08:11, GET, /datos/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001305
127.0.0.1, 2016-08-31 23:08:11, GET, /datos/static/js/calendar.js, HTTP/1.1, 304, 0.001338
127.0.0.1, 2016-08-31 23:08:11, GET, /datos/static/js/web2py.js, HTTP/1.1, 304, 0.001263
127.0.0.1, 2016-08-31 23:08:11, GET, /datos/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.007505
127.0.0.1, 2016-08-31 23:08:11, GET, /datos/static/css/calendar.css, HTTP/1.1, 304, 0.013487
127.0.0.1, 2016-08-31 23:08:11, GET, /datos/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.008512
127.0.0.1, 2016-08-31 23:08:11, GET, /datos/static/js/jquery.js, HTTP/1.1, 304, 0.014358
127.0.0.1, 2016-08-31 23:08:11, GET, /datos/static/js/share.js, HTTP/1.1, 304, 0.001507
127.0.0.1, 2016-08-31 23:08:11, GET, /datos/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.007904
127.0.0.1, 2016-08-31 23:08:11, GET, /datos/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001144
127.0.0.1, 2016-08-31 23:08:11, GET, /datos/static/images/gplus-32.png, HTTP/1.1, 304, 0.006013
127.0.0.1, 2016-08-31 23:08:11, GET, /datos/static/images/facebook.png, HTTP/1.1, 304, 0.004095
127.0.0.1, 2016-08-31 23:08:11, GET, /datos/static/images/twitter.png, HTTP/1.1, 304, 0.005294
127.0.0.1, 2016-08-31 23:08:13, GET, /datos/academia/show_teacher/6, HTTP/1.1, 200, 0.182467
127.0.0.1, 2016-08-31 23:08:14, POST, /datos/academia/show_teacher/6, HTTP/1.1, 303, 0.149653
127.0.0.1, 2016-08-31 23:08:14, GET, /datos/academia/update_group_teacher/6, HTTP/1.1, 303, 0.222572
127.0.0.1, 2016-08-31 23:08:14, GET, /datos/academia/agree_teacher, HTTP/1.1, 200, 0.207133
127.0.0.1, 2016-08-31 23:08:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.290025
